Gene	Num_CDS_Automated	Num_CDS_Deposited	Num_Genes_Automated	Num_Genes_Deposited	Num_mRNA_Automated	Num_mRNA_Deposited	Other/MiscFeatures_Automated	Other/MiscFeatures_Deposited	Logged_Mismatches(Sample)
UL57	1	1	1	1	0	1	0	0	0
UL5	1	1	1	1	0	1	0	0	0
UL69	1	1	1	1	0	1	0	0	0
UL6	1	1	1	1	0	1	0	0	0
UL70	1	1	1	1	0	1	4	0	0
UL71	1	1	1	1	0	1	0	0	0
UL72	1	1	1	1	0	1	0	0	0
UL73	1	1	1	1	2	1	6	0	0
UL74A	2	2	1	1	2	1	6	0	0
UL74	1	1	1	1	0	1	0	0	0
UL75	1	1	1	1	0	1	0	0	0
UL76	1	1	1	1	0	1	0	0	0
UL77	1	1	1	1	0	1	0	0	0
UL78	1	1	1	1	0	1	0	0	0
UL79	1	1	1	1	0	1	0	0	0
UL7	1	1	1	1	0	1	0	0	0
UL80.5	1	1	1	1	0	1	0	0	0
UL80	2	2	2	2	0	2	0	0	0
UL82	1	1	1	1	0	1	0	0	0
UL83	1	1	1	1	0	1	0	0	0
UL84	1	1	1	1	0	1	0	0	0
UL85	1	1	1	1	0	1	0	0	0
UL86	1	1	1	1	0	1	0	0	0
UL87	1	1	1	1	0	1	0	0	0
UL88	1	1	1	1	0	1	0	0	0
UL89	2	2	1	1	0	1	0	0	0
UL8	2	2	1	1	0	1	0	0	0
UL91	1	1	1	1	0	1	0	0	0
UL92	1	1	1	1	0	1	0	0	0
UL93	1	1	1	1	0	1	0	0	0
UL94	1	1	1	1	0	1	0	0	0
UL95	1	1	1	1	0	1	0	0	0
UL96	1	1	1	1	0	1	0	0	0
UL97	1	1	1	1	0	1	0	0	0
UL98	1	1	1	1	0	1	0	0	0
UL99	1	1	1	1	0	1	0	0	0
UL9	1	1	1	1	0	1	0	0	0
US10	1	1	1	1	0	1	0	0	0
US11	1	1	1	1	0	1	0	0	0
US12	1	1	1	1	0	1	0	0	0
US13	1	1	1	1	0	1	0	0	0
US14	1	1	1	1	0	1	0	0	0
US15	1	1	1	1	0	1	0	0	0
US16	1	1	1	1	0	1	0	0	0
US17	1	1	1	1	0	1	0	0	0
US18	1	1	1	1	0	1	0	0	0
US19	1	1	1	1	0	1	0	0	0
US1	1	1	1	1	0	1	0	0	0
US20	1	1	1	1	0	1	0	0	0
US21	1	1	1	1	0	1	0	0	0
US22	1	1	1	1	0	1	0	0	0
US23	1	1	1	1	0	1	0	0	0
US24	1	1	1	1	0	1	0	0	0
US26	1	1	1	1	0	1	0	0	0
US27	1	1	1	1	1	1	3	0	0
US28	1	1	1	1	0	1	0	0	0
US29	1	1	1	1	0	1	0	0	0
US2	1	1	1	1	0	1	0	0	0
US30	1	1	1	1	0	1	0	0	0
US31	1	1	1	1	0	1	0	0	0
US32	1	1	1	1	0	1	0	0	0
US33A	1	1	1	1	1	1	2	0	0
US34A	1	1	1	1	0	1	0	0	0
US34	1	1	1	1	0	1	0	0	0
US3	1	1	1	1	0	1	0	0	0
US6	1	1	1	1	0	1	0	0	0
US7	1	1	1	1	0	1	0	0	0
US8	1	1	1	1	0	1	0	0	0
US9	1	1	1	1	0	1	0	0	0
